//Cycle : #inst 0  pc opcode reg regnum value
        24 :     #1 0 00000000 b0201073 
        25 :     #2 0 00000004 b8201073 
        26 :     #3 0 00000008 ee0000b7 r1=ee000000
        27 :     #4 0 0000000c 30509073 
        34 :     #5 0 00000010 5f5550b7 r1=5f555000
        35 :     #6 0 00000014 55508093 r1=5f555555
        36 :     #7 0 00000018 7c009073 
        42 :     #8 0 0000001c d05801b7 r3=d0580000
        44 :     #9 0 00000020 00010217 r4=00010020
        45 :    #10 0 00000024 fe020213 r4=00010000
        54 :    #11 0 00000028 00020283 r5=0000002d
        55 :    #12 0 0000002c 00518023 
        57 :    #13 0 00000030 00000205 r4=00010001
        57 :    #14 0 00000032 fe029be3 
        80 :    #15 0 00000028 00020283 r5=0000002d
        81 :    #16 0 0000002c 00518023 
        81 :    #17 0 00000030 00000205 r4=00010002
        82 :    #18 0 00000032 fe029be3 
        98 :    #19 0 00000028 00020283 r5=0000002d
        99 :    #20 0 0000002c 00518023 
        99 :    #21 0 00000030 00000205 r4=00010003
       100 :    #22 0 00000032 fe029be3 
       116 :    #23 0 00000028 00020283 r5=0000002d
       117 :    #24 0 0000002c 00518023 
       117 :    #25 0 00000030 00000205 r4=00010004
       118 :    #26 0 00000032 fe029be3 
       134 :    #27 0 00000028 00020283 r5=0000002d
       135 :    #28 0 0000002c 00518023 
       135 :    #29 0 00000030 00000205 r4=00010005
       136 :    #30 0 00000032 fe029be3 
       152 :    #31 0 00000028 00020283 r5=0000002d
       153 :    #32 0 0000002c 00518023 
       153 :    #33 0 00000030 00000205 r4=00010006
       154 :    #34 0 00000032 fe029be3 
       164 :    #35 0 00000028 00020283 r5=0000002d
       165 :    #36 0 0000002c 00518023 
       165 :    #37 0 00000030 00000205 r4=00010007
       176 :    #38 0 00000032 fe029be3 
       176 :    #39 0 00000028 00020283 r5=0000002d
       177 :    #40 0 0000002c 00518023 
       177 :    #41 0 00000030 00000205 r4=00010008
       188 :    #42 0 00000032 fe029be3 
       188 :    #43 0 00000028 00020283 r5=0000002d
       189 :    #44 0 0000002c 00518023 
       189 :    #45 0 00000030 00000205 r4=00010009
       200 :    #46 0 00000032 fe029be3 
       200 :    #47 0 00000028 00020283 r5=0000002d
       201 :    #48 0 0000002c 00518023 
       201 :    #49 0 00000030 00000205 r4=0001000a
       212 :    #50 0 00000032 fe029be3 
       212 :    #51 0 00000028 00020283 r5=0000002d
       213 :    #52 0 0000002c 00518023 
       213 :    #53 0 00000030 00000205 r4=0001000b
       224 :    #54 0 00000032 fe029be3 
       224 :    #55 0 00000028 00020283 r5=0000002d
       225 :    #56 0 0000002c 00518023 
       225 :    #57 0 00000030 00000205 r4=0001000c
       236 :    #58 0 00000032 fe029be3 
       236 :    #59 0 00000028 00020283 r5=0000002d
       237 :    #60 0 0000002c 00518023 
       237 :    #61 0 00000030 00000205 r4=0001000d
       248 :    #62 0 00000032 fe029be3 
       248 :    #63 0 00000028 00020283 r5=0000002d
       249 :    #64 0 0000002c 00518023 
       249 :    #65 0 00000030 00000205 r4=0001000e
       260 :    #66 0 00000032 fe029be3 
       260 :    #67 0 00000028 00020283 r5=0000002d
       261 :    #68 0 0000002c 00518023 
       261 :    #69 0 00000030 00000205 r4=0001000f
       272 :    #70 0 00000032 fe029be3 
       272 :    #71 0 00000028 00020283 r5=0000002d
       273 :    #72 0 0000002c 00518023 
       273 :    #73 0 00000030 00000205 r4=00010010
       284 :    #74 0 00000032 fe029be3 
       284 :    #75 0 00000028 00020283 r5=0000002d
       285 :    #76 0 0000002c 00518023 
       285 :    #77 0 00000030 00000205 r4=00010011
       296 :    #78 0 00000032 fe029be3 
       296 :    #79 0 00000028 00020283 r5=0000002d
       297 :    #80 0 0000002c 00518023 
       297 :    #81 0 00000030 00000205 r4=00010012
       308 :    #82 0 00000032 fe029be3 
       308 :    #83 0 00000028 00020283 r5=0000002d
       309 :    #84 0 0000002c 00518023 
       309 :    #85 0 00000030 00000205 r4=00010013
       320 :    #86 0 00000032 fe029be3 
       320 :    #87 0 00000028 00020283 r5=0000002d
       321 :    #88 0 0000002c 00518023 
       321 :    #89 0 00000030 00000205 r4=00010014
       332 :    #90 0 00000032 fe029be3 
       332 :    #91 0 00000028 00020283 r5=0000002d
       333 :    #92 0 0000002c 00518023 
       333 :    #93 0 00000030 00000205 r4=00010015
       344 :    #94 0 00000032 fe029be3 
       344 :    #95 0 00000028 00020283 r5=0000002d
       345 :    #96 0 0000002c 00518023 
       345 :    #97 0 00000030 00000205 r4=00010016
       356 :    #98 0 00000032 fe029be3 
       356 :    #99 0 00000028 00020283 r5=0000002d
       357 :   #100 0 0000002c 00518023 
       357 :   #101 0 00000030 00000205 r4=00010017
       368 :   #102 0 00000032 fe029be3 
       368 :   #103 0 00000028 00020283 r5=0000002d
       369 :   #104 0 0000002c 00518023 
       369 :   #105 0 00000030 00000205 r4=00010018
       380 :   #106 0 00000032 fe029be3 
       380 :   #107 0 00000028 00020283 r5=0000002d
       381 :   #108 0 0000002c 00518023 
       381 :   #109 0 00000030 00000205 r4=00010019
       392 :   #110 0 00000032 fe029be3 
       392 :   #111 0 00000028 00020283 r5=0000002d
       393 :   #112 0 0000002c 00518023 
       393 :   #113 0 00000030 00000205 r4=0001001a
       404 :   #114 0 00000032 fe029be3 
       404 :   #115 0 00000028 00020283 r5=0000002d
       405 :   #116 0 0000002c 00518023 
       405 :   #117 0 00000030 00000205 r4=0001001b
       416 :   #118 0 00000032 fe029be3 
       416 :   #119 0 00000028 00020283 r5=0000002d
       417 :   #120 0 0000002c 00518023 
       417 :   #121 0 00000030 00000205 r4=0001001c
       428 :   #122 0 00000032 fe029be3 
       428 :   #123 0 00000028 00020283 r5=0000002d
       429 :   #124 0 0000002c 00518023 
       429 :   #125 0 00000030 00000205 r4=0001001d
       440 :   #126 0 00000032 fe029be3 
       440 :   #127 0 00000028 00020283 r5=0000002d
       441 :   #128 0 0000002c 00518023 
       441 :   #129 0 00000030 00000205 r4=0001001e
       452 :   #130 0 00000032 fe029be3 
       452 :   #131 0 00000028 00020283 r5=0000002d
       453 :   #132 0 0000002c 00518023 
       453 :   #133 0 00000030 00000205 r4=0001001f
       464 :   #134 0 00000032 fe029be3 
       464 :   #135 0 00000028 00020283 r5=0000002d
       465 :   #136 0 0000002c 00518023 
       465 :   #137 0 00000030 00000205 r4=00010020
       476 :   #138 0 00000032 fe029be3 
       476 :   #139 0 00000028 00020283 r5=0000002d
       477 :   #140 0 0000002c 00518023 
       477 :   #141 0 00000030 00000205 r4=00010021
       488 :   #142 0 00000032 fe029be3 
       488 :   #143 0 00000028 00020283 r5=0000002d
       489 :   #144 0 0000002c 00518023 
       489 :   #145 0 00000030 00000205 r4=00010022
       500 :   #146 0 00000032 fe029be3 
       500 :   #147 0 00000028 00020283 r5=0000000a
       501 :   #148 0 0000002c 00518023 
       501 :   #149 0 00000030 00000205 r4=00010023
       512 :   #150 0 00000032 fe029be3 
       512 :   #151 0 00000028 00020283 r5=00000048
       513 :   #152 0 0000002c 00518023 
       513 :   #153 0 00000030 00000205 r4=00010024
       524 :   #154 0 00000032 fe029be3 
       524 :   #155 0 00000028 00020283 r5=00000065
       525 :   #156 0 0000002c 00518023 
       525 :   #157 0 00000030 00000205 r4=00010025
       536 :   #158 0 00000032 fe029be3 
       536 :   #159 0 00000028 00020283 r5=0000006c
       537 :   #160 0 0000002c 00518023 
       537 :   #161 0 00000030 00000205 r4=00010026
       548 :   #162 0 00000032 fe029be3 
       548 :   #163 0 00000028 00020283 r5=0000006c
       549 :   #164 0 0000002c 00518023 
       549 :   #165 0 00000030 00000205 r4=00010027
       560 :   #166 0 00000032 fe029be3 
       560 :   #167 0 00000028 00020283 r5=0000006f
       561 :   #168 0 0000002c 00518023 
       561 :   #169 0 00000030 00000205 r4=00010028
       572 :   #170 0 00000032 fe029be3 
       572 :   #171 0 00000028 00020283 r5=00000020
       573 :   #172 0 0000002c 00518023 
       573 :   #173 0 00000030 00000205 r4=00010029
       584 :   #174 0 00000032 fe029be3 
       584 :   #175 0 00000028 00020283 r5=00000057
       585 :   #176 0 0000002c 00518023 
       585 :   #177 0 00000030 00000205 r4=0001002a
       596 :   #178 0 00000032 fe029be3 
       596 :   #179 0 00000028 00020283 r5=0000006f
       597 :   #180 0 0000002c 00518023 
       597 :   #181 0 00000030 00000205 r4=0001002b
       608 :   #182 0 00000032 fe029be3 
       608 :   #183 0 00000028 00020283 r5=00000072
       609 :   #184 0 0000002c 00518023 
       609 :   #185 0 00000030 00000205 r4=0001002c
       620 :   #186 0 00000032 fe029be3 
       620 :   #187 0 00000028 00020283 r5=0000006c
       621 :   #188 0 0000002c 00518023 
       621 :   #189 0 00000030 00000205 r4=0001002d
       632 :   #190 0 00000032 fe029be3 
       632 :   #191 0 00000028 00020283 r5=00000064
       633 :   #192 0 0000002c 00518023 
       633 :   #193 0 00000030 00000205 r4=0001002e
       644 :   #194 0 00000032 fe029be3 
       644 :   #195 0 00000028 00020283 r5=00000020
       645 :   #196 0 0000002c 00518023 
       645 :   #197 0 00000030 00000205 r4=0001002f
       656 :   #198 0 00000032 fe029be3 
       656 :   #199 0 00000028 00020283 r5=00000066
       657 :   #200 0 0000002c 00518023 
       657 :   #201 0 00000030 00000205 r4=00010030
       668 :   #202 0 00000032 fe029be3 
       668 :   #203 0 00000028 00020283 r5=00000072
       669 :   #204 0 0000002c 00518023 
       669 :   #205 0 00000030 00000205 r4=00010031
       680 :   #206 0 00000032 fe029be3 
       680 :   #207 0 00000028 00020283 r5=0000006f
       681 :   #208 0 0000002c 00518023 
       681 :   #209 0 00000030 00000205 r4=00010032
       692 :   #210 0 00000032 fe029be3 
       692 :   #211 0 00000028 00020283 r5=0000006d
       693 :   #212 0 0000002c 00518023 
       693 :   #213 0 00000030 00000205 r4=00010033
       704 :   #214 0 00000032 fe029be3 
       704 :   #215 0 00000028 00020283 r5=00000020
       705 :   #216 0 0000002c 00518023 
       705 :   #217 0 00000030 00000205 r4=00010034
       716 :   #218 0 00000032 fe029be3 
       716 :   #219 0 00000028 00020283 r5=00000053
       717 :   #220 0 0000002c 00518023 
       717 :   #221 0 00000030 00000205 r4=00010035
       728 :   #222 0 00000032 fe029be3 
       728 :   #223 0 00000028 00020283 r5=00000077
       729 :   #224 0 0000002c 00518023 
       729 :   #225 0 00000030 00000205 r4=00010036
       740 :   #226 0 00000032 fe029be3 
       740 :   #227 0 00000028 00020283 r5=00000065
       741 :   #228 0 0000002c 00518023 
       741 :   #229 0 00000030 00000205 r4=00010037
       752 :   #230 0 00000032 fe029be3 
       752 :   #231 0 00000028 00020283 r5=00000052
       753 :   #232 0 0000002c 00518023 
       753 :   #233 0 00000030 00000205 r4=00010038
       764 :   #234 0 00000032 fe029be3 
       764 :   #235 0 00000028 00020283 r5=00000056
       765 :   #236 0 0000002c 00518023 
       765 :   #237 0 00000030 00000205 r4=00010039
       776 :   #238 0 00000032 fe029be3 
       776 :   #239 0 00000028 00020283 r5=00000020
       777 :   #240 0 0000002c 00518023 
       777 :   #241 0 00000030 00000205 r4=0001003a
       788 :   #242 0 00000032 fe029be3 
       788 :   #243 0 00000028 00020283 r5=00000045
       789 :   #244 0 0000002c 00518023 
       789 :   #245 0 00000030 00000205 r4=0001003b
       800 :   #246 0 00000032 fe029be3 
       800 :   #247 0 00000028 00020283 r5=00000048
       801 :   #248 0 0000002c 00518023 
       801 :   #249 0 00000030 00000205 r4=0001003c
       812 :   #250 0 00000032 fe029be3 
       812 :   #251 0 00000028 00020283 r5=00000031
       813 :   #252 0 0000002c 00518023 
       813 :   #253 0 00000030 00000205 r4=0001003d
       824 :   #254 0 00000032 fe029be3 
       824 :   #255 0 00000028 00020283 r5=00000020
       825 :   #256 0 0000002c 00518023 
       825 :   #257 0 00000030 00000205 r4=0001003e
       836 :   #258 0 00000032 fe029be3 
       836 :   #259 0 00000028 00020283 r5=00000040
       837 :   #260 0 0000002c 00518023 
       837 :   #261 0 00000030 00000205 r4=0001003f
       848 :   #262 0 00000032 fe029be3 
       848 :   #263 0 00000028 00020283 r5=00000057
       849 :   #264 0 0000002c 00518023 
       849 :   #265 0 00000030 00000205 r4=00010040
       860 :   #266 0 00000032 fe029be3 
       860 :   #267 0 00000028 00020283 r5=00000044
       861 :   #268 0 0000002c 00518023 
       861 :   #269 0 00000030 00000205 r4=00010041
       872 :   #270 0 00000032 fe029be3 
       872 :   #271 0 00000028 00020283 r5=00000043
       873 :   #272 0 0000002c 00518023 
       873 :   #273 0 00000030 00000205 r4=00010042
       884 :   #274 0 00000032 fe029be3 
       884 :   #275 0 00000028 00020283 r5=00000020
       885 :   #276 0 0000002c 00518023 
       885 :   #277 0 00000030 00000205 r4=00010043
       896 :   #278 0 00000032 fe029be3 
       896 :   #279 0 00000028 00020283 r5=00000021
       897 :   #280 0 0000002c 00518023 
       897 :   #281 0 00000030 00000205 r4=00010044
       908 :   #282 0 00000032 fe029be3 
       908 :   #283 0 00000028 00020283 r5=00000021
       909 :   #284 0 0000002c 00518023 
       909 :   #285 0 00000030 00000205 r4=00010045
       920 :   #286 0 00000032 fe029be3 
       920 :   #287 0 00000028 00020283 r5=0000000a
       921 :   #288 0 0000002c 00518023 
       921 :   #289 0 00000030 00000205 r4=00010046
       932 :   #290 0 00000032 fe029be3 
       932 :   #291 0 00000028 00020283 r5=0000002d
       933 :   #292 0 0000002c 00518023 
       933 :   #293 0 00000030 00000205 r4=00010047
       944 :   #294 0 00000032 fe029be3 
       944 :   #295 0 00000028 00020283 r5=0000002d
       945 :   #296 0 0000002c 00518023 
       945 :   #297 0 00000030 00000205 r4=00010048
       956 :   #298 0 00000032 fe029be3 
